date,value
2025-11-21,933.03
2025-11-24,939.94
2025-11-25,939.04
2025-11-26,944.01
2025-11-27,935.56
2025-11-28,937.29
2025-12-01,939.47
2025-12-02,945.15
2025-12-03,942.96
2025-12-04,946.33
2025-12-05,948.59
2025-12-08,948.09
2025-12-09,942.06
2025-12-10,937.67
2025-12-11,942.81
2025-12-12,945.05
2025-12-15,945.3
2025-12-16,950.39
2025-12-17,951.47
2025-12-18,950.01
2025-12-19,949.63
2025-12-22,937.78
2025-12-23,942.15
2025-12-24,950.01
2025-12-26,937.27
2025-12-29,921.77
2025-12-30,919.08
2025-12-31,917.63
